date ,area,industry,occupation,number_of_jobs 
2002,London,Primary and utilities,"Managers, Directors And Senior Officials",4629
2002,London,Manufacturing,"Managers, Directors And Senior Officials",32275
2002,London,Construction,"Managers, Directors And Senior Officials",37988
2002,London,Wholesale and motor trades,"Managers, Directors And Senior Officials",26937
2002,London,Retail ,"Managers, Directors And Senior Officials",52912
2002,London,Transportation and storage,"Managers, Directors And Senior Officials",24126
2002,London,Accommodation and food service activities,"Managers, Directors And Senior Officials",23131
2002,London,Information and communication,"Managers, Directors And Senior Officials",30037
2002,London,Financial and insurance activities,"Managers, Directors And Senior Officials",62896
2002,London,"Real estate; Professional, scientific and technical","Managers, Directors And Senior Officials",55082
2002,London,Administrative and support service activities,"Managers, Directors And Senior Officials",16444
2002,London,Public administration and defence; compulsory social security,"Managers, Directors And Senior Officials",26606
2002,London,Education,"Managers, Directors And Senior Officials",7495
2002,London,Human health and social work activities,"Managers, Directors And Senior Officials",26889
2002,London,"Arts, entertainment and recreation","Managers, Directors And Senior Officials",13586
2002,London,Other service activities,"Managers, Directors And Senior Officials",9556
2002,London,Total in all industries,"Managers, Directors And Senior Officials",450589
2002,London,Primary and utilities,Professional Occupations,5224
2002,London,Manufacturing,Professional Occupations,24711
2002,London,Construction,Professional Occupations,30786
2002,London,Wholesale and motor trades,Professional Occupations,3353
2002,London,Retail ,Professional Occupations,12292
2002,London,Transportation and storage,Professional Occupations,13057
2002,London,Accommodation and food service activities,Professional Occupations,2036
2002,London,Information and communication,Professional Occupations,112997
2002,London,Financial and insurance activities,Professional Occupations,53374
2002,London,"Real estate; Professional, scientific and technical",Professional Occupations,159099
2002,London,Administrative and support service activities,Professional Occupations,16965
2002,London,Public administration and defence; compulsory social security,Professional Occupations,54302
2002,London,Education,Professional Occupations,181888
2002,London,Human health and social work activities,Professional Occupations,137039
2002,London,"Arts, entertainment and recreation",Professional Occupations,9540
2002,London,Other service activities,Professional Occupations,15512
2002,London,Total in all industries,Professional Occupations,832175
2002,London,Primary and utilities,Associate Professional And Technical Occupations,4869
2002,London,Manufacturing,Associate Professional And Technical Occupations,37474
2002,London,Construction,Associate Professional And Technical Occupations,21405
2002,London,Wholesale and motor trades,Associate Professional And Technical Occupations,20650
2002,London,Retail ,Associate Professional And Technical Occupations,25226
2002,London,Transportation and storage,Associate Professional And Technical Occupations,24668
2002,London,Accommodation and food service activities,Associate Professional And Technical Occupations,6787
2002,London,Information and communication,Associate Professional And Technical Occupations,102009
2002,London,Financial and insurance activities,Associate Professional And Technical Occupations,120249
2002,London,"Real estate; Professional, scientific and technical",Associate Professional And Technical Occupations,108286
2002,London,Administrative and support service activities,Associate Professional And Technical Occupations,46394
2002,London,Public administration and defence; compulsory social security,Associate Professional And Technical Occupations,91483
2002,London,Education,Associate Professional And Technical Occupations,21237
2002,London,Human health and social work activities,Associate Professional And Technical Occupations,46675
2002,London,"Arts, entertainment and recreation",Associate Professional And Technical Occupations,65075
2002,London,Other service activities,Associate Professional And Technical Occupations,10057
2002,London,Total in all industries,Associate Professional And Technical Occupations,752544
2002,London,Primary and utilities,Administrative And Secretarial Occupations,3913
2002,London,Manufacturing,Administrative And Secretarial Occupations,27111
2002,London,Construction,Administrative And Secretarial Occupations,27204
2002,London,Wholesale and motor trades,Administrative And Secretarial Occupations,17665
2002,London,Retail ,Administrative And Secretarial Occupations,31037
2002,London,Transportation and storage,Administrative And Secretarial Occupations,30954
2002,London,Accommodation and food service activities,Administrative And Secretarial Occupations,11837
2002,London,Information and communication,Administrative And Secretarial Occupations,43688
2002,London,Financial and insurance activities,Administrative And Secretarial Occupations,104734
2002,London,"Real estate; Professional, scientific and technical",Administrative And Secretarial Occupations,91018
2002,London,Administrative and support service activities,Administrative And Secretarial Occupations,30396
2002,London,Public administration and defence; compulsory social security,Administrative And Secretarial Occupations,67062
2002,London,Education,Administrative And Secretarial Occupations,33421
2002,London,Human health and social work activities,Administrative And Secretarial Occupations,62096
2002,London,"Arts, entertainment and recreation",Administrative And Secretarial Occupations,20993
2002,London,Other service activities,Administrative And Secretarial Occupations,17846
2002,London,Total in all industries,Administrative And Secretarial Occupations,620975
2002,London,Primary and utilities,Skilled Trades Occupations,3803
2002,London,Manufacturing,Skilled Trades Occupations,55976
2002,London,Construction,Skilled Trades Occupations,126039
2002,London,Wholesale and motor trades,Skilled Trades Occupations,18858
2002,London,Retail ,Skilled Trades Occupations,10441
2002,London,Transportation and storage,Skilled Trades Occupations,14686
2002,London,Accommodation and food service activities,Skilled Trades Occupations,36947
2002,London,Information and communication,Skilled Trades Occupations,17609
2002,London,Financial and insurance activities,Skilled Trades Occupations,1636
2002,London,"Real estate; Professional, scientific and technical",Skilled Trades Occupations,4394
2002,London,Administrative and support service activities,Skilled Trades Occupations,11434
2002,London,Public administration and defence; compulsory social security,Skilled Trades Occupations,3014
2002,London,Education,Skilled Trades Occupations,3136
2002,London,Human health and social work activities,Skilled Trades Occupations,3644
2002,London,"Arts, entertainment and recreation",Skilled Trades Occupations,4741
2002,London,Other service activities,Skilled Trades Occupations,8702
2002,London,Total in all industries,Skilled Trades Occupations,325060
2002,London,Primary and utilities,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",4441
2002,London,Manufacturing,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",9429
2002,London,Construction,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",6458
2002,London,Wholesale and motor trades,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",17344
2002,London,Retail ,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",177179
2002,London,Transportation and storage,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",32627
2002,London,Accommodation and food service activities,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",17399
2002,London,Information and communication,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",12305
2002,London,Financial and insurance activities,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",12349
2002,London,"Real estate; Professional, scientific and technical","Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",16391
2002,London,Administrative and support service activities,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",28895
2002,London,Public administration and defence; compulsory social security,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",10487
2002,London,Education,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",50265
2002,London,Human health and social work activities,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",89026
2002,London,"Arts, entertainment and recreation","Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",8933
2002,London,Other service activities,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",19218
2002,London,Total in all industries,"Caring, Leisure And Other Service Occupations; and Sales And Customer Service Occupations",512746
2002,London,Primary and utilities,"Process, Plant And Machine Operatives; and Elementary Occupations",9320
2002,London,Manufacturing,"Process, Plant And Machine Operatives; and Elementary Occupations",51677
2002,London,Construction,"Process, Plant And Machine Operatives; and Elementary Occupations",35064
2002,London,Wholesale and motor trades,"Process, Plant And Machine Operatives; and Elementary Occupations",28186
2002,London,Retail ,"Process, Plant And Machine Operatives; and Elementary Occupations",43176
2002,London,Transportation and storage,"Process, Plant And Machine Operatives; and Elementary Occupations",126410
2002,London,Accommodation and food service activities,"Process, Plant And Machine Operatives; and Elementary Occupations",91822
2002,London,Information and communication,"Process, Plant And Machine Operatives; and Elementary Occupations",8172
2002,London,Financial and insurance activities,"Process, Plant And Machine Operatives; and Elementary Occupations",4379
2002,London,"Real estate; Professional, scientific and technical","Process, Plant And Machine Operatives; and Elementary Occupations",8711
2002,London,Administrative and support service activities,"Process, Plant And Machine Operatives; and Elementary Occupations",56489
2002,London,Public administration and defence; compulsory social security,"Process, Plant And Machine Operatives; and Elementary Occupations",12512
2002,London,Education,"Process, Plant And Machine Operatives; and Elementary Occupations",27698
2002,London,Human health and social work activities,"Process, Plant And Machine Operatives; and Elementary Occupations",17094
2002,London,"Arts, entertainment and recreation","Process, Plant And Machine Operatives; and Elementary Occupations",14706
2002,London,Other service activities,"Process, Plant And Machine Operatives; and Elementary Occupations",14119
2002,London,Total in all industries,"Process, Plant And Machine Operatives; and Elementary Occupations",549535
2002,London,Primary and utilities,Total in all occupations,36199
2002,London,Manufacturing,Total in all occupations,238653
2002,London,Construction,Total in all occupations,284944
2002,London,Wholesale and motor trades,Total in all occupations,132993
2002,London,Retail ,Total in all occupations,352263
2002,London,Transportation and storage,Total in all occupations,266528
2002,London,Accommodation and food service activities,Total in all occupations,189959
2002,London,Information and communication,Total in all occupations,326817
2002,London,Financial and insurance activities,Total in all occupations,359617
2002,London,"Real estate; Professional, scientific and technical",Total in all occupations,442981
2002,London,Administrative and support service activities,Total in all occupations,207017
2002,London,Public administration and defence; compulsory social security,Total in all occupations,265466
2002,London,Education,Total in all occupations,325140
2002,London,Human health and social work activities,Total in all occupations,382463
2002,London,"Arts, entertainment and recreation",Total in all occupations,137574
2002,London,Other service activities,Total in all occupations,95010
2002,London,Total in all industries,Total in all occupations,4043624
2002,UK,Primary and utilities,"Managers, Directors And Senior Officials",65276
